Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2020-03-27	66.66	87.06	2805500.00	920700.00
2020-03-30	67.81	94.25	3043900.00	774800.00
2020-03-31	71.06	95.88	3658700.00	1042500.00
2020-04-01	67.13	92.89	2798400.00	894300.00
2020-04-02	67.96	94.57	3317700.00	908800.00
2020-04-03	66.95	93.79	1591500.00	509600.00
2020-04-06	70.70	96.85	3811600.00	754500.00
2020-04-07	72.03	95.39	3141900.00	673500.00
2020-04-08	74.89	98.22	3743300.00	643900.00
2020-04-09	75.10	99.32	4126900.00	458800.00
2020-04-13	73.44	98.19	3657400.00	390200.00
2020-04-14	72.99	100.46	2992600.00	408500.00
2020-04-15	69.34	99.03	2993700.00	480700.00
2020-04-16	67.65	99.97	6459200.00	452400.00
2020-04-17	69.99	101.74	2758000.00	381100.00
2020-04-20	69.22	100.20	4025700.00	366500.00
2020-04-21	66.43	98.20	4094800.00	523700.00
2020-04-22	67.33	100.92	3461600.00	810800.00
2020-04-23	66.89	99.05	2561500.00	324700.00
2020-04-24	67.52	99.96	4905600.00	602300.00
2020-04-27	69.81	100.47	6015700.00	554900.00
2020-04-28	71.26	99.89	8798900.00	554300.00
2020-04-29	74.84	99.78	4690200.00	481300.00
2020-04-30	70.77	98.07	9976000.00	780400.00
2020-05-01	68.55	97.24	2289000.00	744800.00
2020-05-04	68.56	98.56	5369700.00	659600.00
2020-05-05	67.75	98.20	6703600.00	685900.00
2020-05-06	67.98	96.03	2857400.00	520200.00
2020-05-07	67.10	95.73	2602700.00	637300.00
2020-05-08	68.34	95.04	3335000.00	548800.00
2020-05-11	68.71	95.72	3344800.00	697200.00
2020-05-12	67.30	94.02	2000100.00	860200.00
2020-05-13	63.85	92.10	3580700.00	716300.00
2020-05-14	63.13	93.05	3996800.00	509600.00
2020-05-15	62.37	93.69	2180500.00	272100.00
2020-05-19	65.22	94.87	4125700.00	792900.00
2020-05-20	66.45	93.15	3457500.00	472800.00
2020-05-21	65.10	92.33	2767500.00	573300.00
2020-05-22	64.14	92.60	2600700.00	267100.00
2020-05-25	65.25	93.06	1270300.00	214000.00
2020-05-26	70.19	91.99	3843100.00	573400.00
2020-05-27	70.78	90.77	4658100.00	761600.00
2020-05-28	69.39	93.15	2298300.00	1023800.00
2020-05-29	67.92	92.22	3355400.00	3020100.00
2020-06-01	69.09	92.70	1886500.00	603800.00
2020-06-02	70.52	94.92	2001000.00	514700.00
2020-06-03	73.93	95.46	3129700.00	620300.00
2020-06-04	74.15	94.22	2487200.00	659300.00
2020-06-05	76.07	95.43	2454400.00	497900.00
2020-06-08	77.95	92.61	2383000.00	478200.00
2020-06-09	77.29	92.88	1817100.00	429000.00
2020-06-10	75.71	93.89	2506700.00	392500.00
2020-06-11	72.50	91.35	3129500.00	854000.00
2020-06-12	74.45	91.65	3406800.00	721800.00
2020-06-15	74.68	91.90	2099900.00	592200.00
2020-06-16	76.77	91.93	2712900.00	462400.00
