Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,90.01,72.95,62.53,16.22,102.25,76.76,65.73,18.16,102.72,76.94,65.74,18.25,101.70,75.10,64.27,18.03,102.30,75.10,64.60,18.12,1316800.00,375700.00,424900.00,654300.00
2019-03-22,88.68,73.84,62.44,16.02,100.74,77.69,65.63,17.94,101.83,77.69,65.82,18.15,100.51,76.50,65.06,17.93,101.71,76.69,65.52,18.14,2634700.00,732900.00,655300.00,773300.00
2019-03-25,88.88,73.42,62.66,16.01,100.97,77.25,65.86,17.93,101.05,77.42,66.22,18.17,100.09,75.78,65.16,17.71,100.50,76.03,65.52,17.94,1880500.00,505000.00,429600.00,835600.00
2019-03-26,89.01,73.33,62.35,16.42,101.12,77.16,65.54,18.39,102.14,77.64,66.37,18.53,100.41,76.23,65.30,18.06,102.00,77.64,66.22,18.10,2453400.00,505500.00,523900.00,991100.00
2019-03-27,88.83,74.01,62.82,16.40,100.91,77.87,66.03,18.36,101.07,78.20,66.45,18.54,100.38,77.07,65.52,18.25,100.78,77.12,65.58,18.33,1949100.00,393300.00,586600.00,1058100.00
2019-03-28,88.49,75.30,63.23,16.37,100.52,79.23,66.46,18.15,101.27,79.72,66.81,18.31,100.29,77.85,65.94,18.12,100.85,77.88,66.13,18.16,1274300.00,554700.00,428300.00,337300.00
2019-03-29,88.02,75.15,62.72,16.45,99.99,79.07,65.92,18.24,100.95,79.35,66.39,18.40,99.77,78.40,65.68,18.13,100.95,79.16,66.34,18.13,1444400.00,597100.00,453100.00,1318400.00
2019-04-01,89.33,75.01,62.75,16.56,101.48,78.93,65.96,18.36,101.61,79.55,66.25,18.39,100.27,78.39,65.49,18.25,100.51,79.28,66.14,18.30,1321000.00,247300.00,420900.00,459400.00
2019-04-02,89.91,74.72,63.33,16.60,102.14,78.62,66.57,18.40,102.22,79.22,66.63,18.54,101.22,78.16,65.39,18.30,101.50,79.08,65.79,18.36,1003300.00,392800.00,375100.00,570300.00
2019-04-03,89.96,75.44,63.72,16.82,102.19,79.38,66.98,18.65,102.61,79.38,67.21,18.85,102.14,78.39,66.56,18.44,102.49,78.88,66.68,18.45,1812900.00,483500.00,619400.00,988400.00
2019-04-04,90.06,74.39,63.62,17.03,102.31,78.27,66.87,18.88,102.64,79.70,67.44,19.01,102.07,77.87,66.69,18.73,102.28,79.40,67.00,18.74,1008400.00,528900.00,389500.00,760300.00
2019-04-05,90.09,74.63,63.36,16.95,102.34,78.53,66.60,18.79,102.63,79.10,67.07,19.00,101.81,78.01,66.35,18.73,102.26,78.50,66.86,18.91,874500.00,358000.00,356500.00,369100.00
2019-04-08,90.01,74.48,63.25,16.76,102.25,78.37,66.48,18.58,102.25,78.46,66.85,18.77,101.63,77.74,66.20,18.51,101.93,78.16,66.64,18.76,979600.00,264200.00,367300.00,631700.00
2019-04-09,89.76,74.29,63.27,16.86,101.97,78.17,66.50,18.69,102.36,78.53,66.61,18.79,101.38,77.94,66.12,18.44,101.67,77.94,66.30,18.52,979900.00,367300.00,325400.00,455500.00
2019-04-10,89.84,74.74,63.43,16.74,102.06,78.64,66.67,18.56,102.34,78.84,66.80,18.76,101.73,78.31,66.39,18.50,102.10,78.33,66.66,18.72,778700.00,270300.00,439700.00,370900.00
2019-04-11,90.26,74.98,63.31,16.82,102.54,78.89,66.54,18.65,102.98,79.40,67.05,18.95,102.07,78.69,66.54,18.60,102.07,78.92,66.82,18.60,1139800.00,294000.00,429200.00,399000.00
2019-04-12,90.87,75.61,63.17,16.85,103.23,79.56,66.40,18.68,103.62,79.58,66.78,18.82,102.79,78.61,66.11,18.60,102.99,79.13,66.78,18.76,1195300.00,284800.00,520700.00,256500.00
2019-04-15,91.14,76.11,63.12,16.91,103.53,80.08,66.34,18.75,103.78,80.40,66.64,18.88,102.92,79.21,66.25,18.61,103.22,79.21,66.43,18.68,882800.00,336800.00,388500.00,331600.00
2019-04-16,91.44,75.88,62.96,16.90,103.87,79.84,66.18,18.74,104.05,80.68,66.59,18.79,103.37,79.72,66.17,17.96,103.65,80.34,66.39,18.69,2048100.00,390600.00,401300.00,2046300.00
2019-04-17,92.60,75.84,62.65,17.01,105.19,79.80,65.85,18.86,105.30,79.94,66.46,18.94,104.03,78.97,65.58,18.75,104.17,79.79,66.26,18.77,1402200.00,408900.00,350200.00,378300.00
2019-04-18,92.87,76.22,63.13,17.05,105.50,80.20,66.36,18.90,105.73,80.78,66.41,18.99,105.08,79.74,65.76,18.78,105.08,80.46,65.94,18.83,1194800.00,544900.00,524800.00,378600.00
2019-04-22,92.82,76.18,63.10,16.78,105.44,80.16,66.32,18.60,105.78,80.68,66.47,18.85,105.16,79.85,66.15,18.54,105.37,80.13,66.28,18.84,642400.00,457400.00,153100.00,264900.00
2019-04-23,92.98,76.38,62.85,16.99,105.63,80.37,66.06,18.84,106.49,81.16,66.59,18.90,105.44,80.20,65.62,18.50,105.50,80.36,66.43,18.61,1591400.00,611600.00,489000.00,412000.00
2019-04-24,92.76,76.54,61.73,17.73,105.37,80.54,64.88,19.66,105.82,81.01,66.14,19.72,105.08,80.18,64.60,18.78,105.82,80.42,66.14,18.86,1255300.00,651200.00,653300.00,1075600.00
2019-04-25,92.73,77.93,62.18,17.34,105.34,82.00,65.36,19.22,105.70,82.16,65.60,19.70,104.88,80.60,64.97,19.22,105.25,80.67,64.97,19.67,1841600.00,473300.00,293400.00,985200.00
2019-04-26,93.04,77.95,61.95,17.45,105.69,82.02,65.12,19.35,105.93,82.23,65.44,19.44,105.08,81.55,64.85,19.18,105.20,82.19,65.34,19.24,3228300.00,294000.00,361900.00,422500.00
2019-04-29,93.67,78.12,62.14,17.42,106.41,82.20,65.31,19.31,106.51,82.29,65.60,19.54,105.58,81.52,64.86,19.27,105.67,82.00,65.15,19.35,2091800.00,548200.00,284100.00,290400.00
2019-04-30,94.04,78.68,62.44,17.38,105.82,82.79,65.63,19.27,105.95,82.93,65.67,19.40,105.00,82.11,64.78,19.17,105.00,82.18,65.22,19.30,1790000.00,388400.00,441600.00,497500.00
2019-05-01,94.04,78.81,61.21,17.40,105.83,82.92,64.34,19.29,106.20,83.83,65.56,19.47,105.68,82.74,64.16,19.28,105.84,82.97,64.88,19.30,1102700.00,537500.00,603000.00,332300.00
2019-05-02,93.96,78.89,62.08,17.61,105.73,83.01,65.25,19.52,106.20,83.28,65.71,19.57,105.59,82.49,64.46,19.20,105.71,82.96,64.48,19.33,2463300.00,237700.00,490200.00,415800.00
2019-05-03,94.29,78.53,62.06,17.42,106.11,82.63,65.23,19.31,106.40,83.72,65.60,19.52,105.74,82.36,64.93,19.18,106.01,83.34,65.38,19.52,1497900.00,343000.00,348600.00,405700.00
2019-05-06,94.52,78.87,62.82,17.45,106.36,82.99,66.03,19.35,106.43,83.02,66.09,19.35,105.01,82.02,64.73,18.99,105.01,82.12,64.99,19.12,1833100.00,334200.00,596300.00,1193000.00
