Attributes,Close,Close,Close,Close,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,
2019-12-06,100.12,94.04,72.10,21.98,1176400.00,292000.00,297500.00,559200.00
2019-12-09,99.72,93.79,71.96,21.90,1364900.00,326100.00,233800.00,456700.00
2019-12-10,100.02,94.06,71.90,21.63,1347000.00,502800.00,581200.00,308700.00
2019-12-11,99.96,94.27,71.69,21.54,1028300.00,404200.00,518000.00,742500.00
2019-12-12,100.55,94.14,70.22,21.55,1728400.00,516200.00,1054100.00,877600.00
2019-12-13,101.47,95.23,69.25,21.61,2114500.00,383800.00,620200.00,1182400.00
2019-12-16,101.74,95.46,69.42,21.78,1180600.00,252300.00,292600.00,624900.00
2019-12-17,102.00,95.80,69.30,21.91,1287800.00,371000.00,508200.00,495800.00
2019-12-18,101.65,94.29,68.78,21.58,1801400.00,459000.00,583800.00,695900.00
2019-12-19,101.71,94.24,67.66,21.77,1461200.00,435900.00,548600.00,964800.00
2019-12-20,102.17,94.69,67.90,21.96,3208800.00,915000.00,1186800.00,1283600.00
2019-12-23,101.25,93.96,67.68,21.81,1125500.00,459200.00,213300.00,242600.00
2019-12-24,101.12,94.27,67.67,21.96,1093500.00,69900.00,108600.00,152000.00
2019-12-27,101.01,94.10,67.78,21.89,693900.00,324200.00,144900.00,1489400.00
2019-12-30,100.72,93.42,67.33,21.77,570600.00,178500.00,240400.00,257500.00
2019-12-31,100.64,92.89,67.00,21.71,857000.00,195400.00,213100.00,276400.00
2020-01-02,100.85,93.73,66.75,22.00,753600.00,275200.00,294400.00,282200.00
2020-01-03,100.60,94.30,67.01,22.39,1473000.00,311500.00,405000.00,690000.00
2020-01-06,100.52,95.11,66.71,22.41,1147500.00,233400.00,348500.00,596000.00
2020-01-07,100.35,95.81,67.22,22.46,702000.00,382100.00,357400.00,284000.00
2020-01-08,101.08,96.85,67.57,22.65,1088400.00,456200.00,498400.00,459700.00
2020-01-09,101.45,98.49,67.89,22.87,1683900.00,325900.00,330100.00,454500.00
2020-01-10,101.42,98.09,67.85,23.00,1243400.00,282800.00,365200.00,354400.00
2020-01-13,102.20,99.40,66.99,23.10,4100400.00,387700.00,564800.00,1173600.00
2020-01-14,102.71,100.15,66.97,23.17,1923500.00,535200.00,503300.00,496200.00
2020-01-15,103.01,100.92,67.32,23.00,1729600.00,439800.00,380000.00,681800.00
2020-01-16,103.36,102.55,68.05,23.04,1809800.00,488100.00,444900.00,473700.00
2020-01-17,103.80,103.09,68.38,23.15,1545900.00,359000.00,321500.00,301900.00
2020-01-20,103.50,103.31,68.55,23.28,1591500.00,89300.00,180900.00,339400.00
2020-01-21,104.34,103.12,68.79,23.19,1384400.00,463000.00,407600.00,462500.00
2020-01-22,104.40,103.53,69.09,23.28,1100600.00,228000.00,474300.00,352200.00
2020-01-23,104.25,103.47,68.95,23.27,2397400.00,314700.00,402600.00,242000.00
2020-01-24,104.02,104.06,68.93,23.17,1888100.00,338400.00,237700.00,172400.00
2020-01-27,103.40,105.25,69.67,23.04,4184800.00,336800.00,369200.00,253500.00
2020-01-28,103.72,105.78,69.26,23.50,4582100.00,413400.00,448800.00,490500.00
2020-01-29,103.49,106.19,69.49,23.38,3678300.00,350400.00,420200.00,405000.00
2020-01-30,103.37,106.83,69.74,23.46,1461200.00,320100.00,424700.00,438400.00
2020-01-31,100.93,106.39,69.24,23.19,1826200.00,472500.00,345000.00,677100.00
2020-02-03,100.53,107.30,69.19,23.59,3794600.00,341400.00,297700.00,599200.00
2020-02-04,101.29,108.29,69.54,23.66,2659600.00,415300.00,370900.00,293400.00
2020-02-05,101.83,106.70,69.82,24.35,2350200.00,624700.00,411600.00,553500.00
2020-02-06,102.47,108.83,70.59,24.39,2552400.00,504100.00,305100.00,467000.00
2020-02-07,102.49,108.08,70.40,24.20,852400.00,337700.00,336200.00,314200.00
2020-02-10,102.15,108.98,70.95,24.21,1864500.00,276300.00,219900.00,283000.00
2020-02-11,102.16,108.14,70.74,24.39,1629000.00,291400.00,248500.00,313700.00
2020-02-12,102.06,107.96,70.61,24.36,1977800.00,339500.00,397300.00,1096400.00
2020-02-13,101.75,108.27,70.84,24.36,3082100.00,456100.00,319400.00,485900.00
2020-02-14,101.81,108.55,71.09,25.09,546100.00,706300.00,203100.00,1133600.00
2020-02-18,101.30,108.10,71.08,25.48,2277600.00,347300.00,274200.00,658100.00
2020-02-19,101.09,108.49,71.09,25.11,1127100.00,513800.00,545300.00,653700.00
2020-02-20,101.25,108.36,69.92,25.46,1558000.00,512300.00,518700.00,529600.00
2020-02-21,100.92,107.26,70.15,25.32,1934000.00,472900.00,618400.00,652100.00
2020-02-24,99.47,106.60,70.00,24.72,2826800.00,425100.00,449300.00,495500.00
2020-02-25,97.25,107.20,69.76,24.14,3012700.00,1015100.00,703200.00,678000.00
2020-02-26,95.70,103.24,69.68,23.57,3015000.00,1189800.00,742400.00,1459400.00
2020-02-27,93.51,103.05,69.35,23.28,2012800.00,455800.00,488600.00,922500.00
2020-02-28,91.21,99.71,66.50,22.29,4242900.00,1560000.00,1795000.00,1781000.00
2020-03-02,92.10,101.66,67.36,22.77,2796500.00,1239800.00,1429500.00,760200.00
2020-03-03,89.98,101.59,69.15,22.53,3630700.00,1202500.00,1310600.00,924700.00
